Profile1;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;y;0;0.414148;0.715315;0.957747;1;0.96638;0.878017;0.741086;0.559546;0.354316;0;-0.354316;-0.559546;-0.741086;-0.878017;-0.96638;-1;-0.957747;-0.715315;-0.414148;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;z;-1;-0.921971;-0.714395;-0.263027;0.0192264;0.314369;0.534921;0.731954;0.879791;0.956357;1;0.956357;0.879791;0.731954;0.534921;0.314369;0.0192264;-0.263027;-0.714395;-0.921971;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Profile2;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;y;0;0.160387;0.329117;0.474211;0.571093;0.985404;1;0.998798;0.981712;0.913544;0.805046;0.696886;0.550957;0.290425;0;-0.290425;-0.550957;-0.696886;-0.805046;-0.913544;-0.981712;-0.998798;-1;-0.985404;-0.571093;-0.474211;-0.329117;-0.160387;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;z;-1;-0.991489;-0.961905;-0.91221;-0.862526;-0.154438;-0.016292;0.161777;0.318123;0.508503;0.677705;0.791695;0.882321;0.972022;1;0.972022;0.882321;0.791695;0.677705;0.508503;0.318123;0.161777;-0.016292;-0.154438;-0.862526;-0.91221;-0.961905;-0.991489;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rounded3;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;y;-0.7;-0.54444;-0.38889;-0.23333;-0.077778;0.077778;0.23333;0.38889;0.54444;0.7;0.7001;0.73367;0.76681;0.79912;0.83018;0.8596;0.88702;0.91209;0.93449;0.95395;0.97021;0.98308;0.99238;0.99801;0.9999;1;1;1;1;1;1;1;1;1;1;0.9999;0.99801;0.99238;0.98308;0.97021;0.95395;0.93449;0.91209;0.88702;0.8596;0.83018;0.79912;0.76681;0.73367;0.7001;0.7;0.54444;0.38889;0.23333;0.077778;-0.077778;-0.23333;-0.38889;-0.54444;-0.7;-0.7001;-0.73367;-0.76681;-0.79912;-0.83018;-0.8596;-0.88702;-0.91209;-0.93449;-0.95395;-0.97021;-0.98308;-0.99238;-0.99801;-0.9999;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-0.9999;-0.99801;-0.99238;-0.98308;-0.97021;-0.95395;-0.93449;-0.91209;-0.88702;-0.8596;-0.83018;-0.79912;-0.76681;-0.73367;-0.7001
;z;1.00;1.00;1.00;1;1;1;1;1;1;1;0.9999;0.99801;0.99238;0.98308;0.97021;0.95395;0.93449;0.91209;0.88702;0.8596;0.83018;0.79912;0.76681;0.73367;0.7001;0.7;0.54444;0.38889;0.23333;0.077778;-0.077778;-0.23333;-0.38889;-0.54444;-0.7;-0.7001;-0.73367;-0.76681;-0.79912;-0.83018;-0.8596;-0.88702;-0.91209;-0.93449;-0.95395;-0.97021;-0.98308;-0.99238;-0.99801;-0.9999;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-0.9999;-0.99801;-0.99238;-0.98308;-0.97021;-0.95395;-0.93449;-0.91209;-0.88702;-0.8596;-0.83018;-0.79912;-0.76681;-0.73367;-0.7001;-0.7;-0.54444;-0.38889;-0.23333;-0.077778;0.077778;0.23333;0.38889;0.54444;0.7;0.7001;0.73367;0.76681;0.79912;0.83018;0.8596;0.88702;0.91209;0.93449;0.95395;0.97021;0.98308;0.99238;0.99801;0.9999
rounded2;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;y;-0.8;-0.715789474;-0.631578947;-0.547368421;-0.463157895;-0.378947368;-0.294736842;-0.210526316;-0.126315789;-0.042105263;0.042105263;0.126315789;0.210526316;0.294736842;0.378947368;0.463157895;0.547368421;0.631578947;0.715789474;0.8;0.8001;0.87656015;0.941379935;0.984691131;0.9999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.9999;0.984691131;0.941379935;0.87656015;0.8001;0.8;0.715789474;0.631578947;0.547368421;0.463157895;0.378947368;0.294736842;0.210526316;0.126315789;0.042105263;-0.042105263;-0.126315789;-0.210526316;-0.294736842;-0.378947368;-0.463157895;-0.547368421;-0.631578947;-0.715789474;-0.8;-0.8001;-0.87656015;-0.941379935;-0.984691131;-0.9999;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-0.9999;-0.984691131;-0.941379935;-0.87656015;-0.8001
;z;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.69993;0.689283791;0.658965954;0.613592105;0.56007;0.56;0.501052632;0.442105263;0.383157895;0.324210526;0.265263158;0.206315789;0.147368421;0.088421053;0.029473684;-0.029473684;-0.088421053;-0.147368421;-0.206315789;-0.265263158;-0.324210526;-0.383157895;-0.442105263;-0.501052632;-0.56;-0.56007;-0.613592105;-0.658965954;-0.689283791;-0.69993;-0.7;-0.7;-0.7;-0.7;-0.7;-0.7;-0.7;-0.7;-0.7;-0.7;-0.7;-0.7;-0.7;-0.7;-0.7;-0.7;-0.7;-0.7;-0.7;-0.7;-0.69993;-0.689283791;-0.658965954;-0.613592105;-0.56007;-0.56;-0.501052632;-0.442105263;-0.383157895;-0.324210526;-0.265263158;-0.206315789;-0.147368421;-0.088421053;-0.029473684;0.029473684;0.088421053;0.147368421;0.206315789;0.265263158;0.324210526;0.383157895;0.442105263;0.501052632;0.56;0.56007;0.613592105;0.658965954;0.689283791;0.69993
